operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	changed
1942	CCNA_03290	CCNA_03291	3457415	3458947	-	y	0
1943	CCNA_03292	CCNA_03293	3459075	3462811	-	y	0
1947	CCNA_03298	CCNA_03298	3469206	3472583	-	n	0
1958	CCNA_03317	CCNA_03317	3492997	3496248	-	n	0
1959	CCNA_03318	CCNA_03318	3496374	3497750	-	n	0
1970	CCNA_03342	CCNA_03346	3522887	3526355	-	y	0
1973	CCNA_03349	CCNA_03349	3528978	3529166	-	n	0
1975	CCNA_03351	CCNA_03351	3529418	3530380	-	n	0
1981	CCNA_03273	CCNA_03362	3540642	3541812	-	y	0
1991	CCNA_03375	CCNA_03377	3548806	3550669	-	y	0
1999	CCNA_03387	CCNA_03389	3560500	3562923	-	y	0
2001	CCNA_03392	CCNA_03393	3563760	3565342	-	y	0
2005	CCNA_03397	CCNA_03399	3568610	3569994	-	y	0
2014	CCNA_03412	CCNA_03414	3579405	3582355	-	y	0
2016	CCNA_03416	CCNA_03416	3582768	3583769	-	n	0
2017	CCNA_03417	CCNA_03418	3583841	3585241	-	y	0
2034	CCNA_03446	CCNA_03446	3611128	3612993	-	n	0
2038	CCNA_03452	CCNA_03453	3616454	3617341	-	y	0
2044	CCNA_03460	CCNA_03461	3623648	3624564	-	y	0
2047	CCNA_03467	CCNA_03467	3630434	3632938	-	n	0
2054	CCNA_03477	CCNA_03477	3641243	3641656	-	n	0
2056	CCNA_03479	CCNA_03479	3642812	3643258	-	n	0
2064	CCNA_03492	CCNA_03492	3651718	3652485	-	n	0
2066	CCNA_03496	CCNA_03496	3655158	3655925	-	n	0
2072	CCNA_03507	CCNA_03512	3664746	3670800	-	y	0
2076	CCNA_03523	CCNA_03523	3680336	3680833	-	n	0
2077	CCNA_03524	CCNA_03525	3681121	3683352	-	y	0
2080	CCNA_03528	CCNA_03528	3684965	3685681	-	n	0
2082	CCNA_03530	CCNA_03530	3686586	3686966	-	n	0
2083	CCNA_03531	CCNA_03531	3687031	3688545	-	n	0
2091	CCNA_03549	CCNA_03549	3705742	3708144	-	n	0
2094	CCNA_03556	CCNA_03556	3712655	3712975	-	n	0
2104	CCNA_03576	CCNA_03576	3731648	3731929	-	n	0
2107	CCNA_03580	CCNA_03580	3737442	3737900	-	n	0
2114	CCNA_03592	CCNA_03592	3745966	3746511	-	n	0
2117	CCNA_03595	CCNA_03597	3748634	3750126	-	y	0
2130	CCNA_03620	CCNA_03620	3775675	3776478	-	n	0
2131	CCNA_03621	CCNA_03621	3776537	3777382	-	n	0
2139	CCNA_03634	CCNA_03634	3788397	3788990	-	n	0
2140	CCNA_03996	CCNA_03635	3789044	3789477	-	y	0
2141	CCNA_03636	CCNA_03636	3789689	3790714	-	n	0
2144	CCNA_03639	CCNA_03644	3798508	3803645	-	y	0
2145	CCNA_03645	CCNA_03646	3803817	3805532	-	y	0
2148	CCNA_03661	CCNA_03661	3821590	3821715	-	n	0
2165	CCNA_03690	CCNA_03690	3856093	3856797	-	n	0
2179	CCNA_03708	CCNA_03709	3875483	3876276	-	y	0
2183	CCNA_03719	CCNA_03719	3884181	3884981	-	n	0
2186	CCNA_03723	CCNA_03723	3891390	3891827	-	n	0
2192	CCNA_03729	CCNA_03729	3897144	3897797	-	n	0
2201	CCNA_03741	CCNA_03741	3910659	3911783	-	n	0
2206	CCNA_03747	CCNA_03747	3917092	3918117	-	n	0
2212	CCNA_03755	CCNA_03757	3924496	3928056	-	y	0
2214	CCNA_03759	CCNA_03759	3929285	3930313	-	n	0
2217	CCNA_03763	CCNA_03763	3931762	3932676	-	n	0
2220	CCNA_03769	CCNA_03770	3937233	3938833	-	y	0
2223	CCNA_03773	CCNA_03774	3940458	3942390	-	y	0
2228	CCNA_03780	CCNA_03780	3946415	3947149	-	n	0
2231	CCNA_03784	CCNA_03784	3951525	3952418	-	n	0
2233	CCNA_03789	CCNA_03789	3954823	3955206	-	n	0
2235	CCNA_03791	CCNA_03791	3955605	3956165	-	n	0
2240	CCNA_03797	CCNA_03800	3960736	3964194	-	y	0
2245	CCNA_03811	CCNA_03811	3974785	3975687	-	n	0
2248	CCNA_03814	CCNA_03814	3978070	3978591	-	n	0
2249	CCNA_03815	CCNA_03815	3978651	3979619	-	n	0
2250	CCNA_03816	CCNA_03816	3979685	3981811	-	n	0
2252	CCNA_03818	CCNA_03818	3982782	3983132	-	n	0
2255	CCNA_03822	CCNA_03822	3988188	3989051	-	n	0
2260	CCNA_03829	CCNA_03829	3994195	3994335	-	n	0
2268	CCNA_03845	CCNA_03846	4011623	4013048	-	y	0
2270	CCNA_03848	CCNA_03848	4013963	4014820	-	n	0
2282	CCNA_03876	CCNA_03876	4038433	4039866	-	n	0
2288	CCNA_00579	CCNA_00580	604210	609290	-	y	0
2325	CCNA_01272	CCNA_01273	1399011	1399908	-	y	0
2365	CCNA_03914	CCNA_03914	68179	68196	-	n	0
2371	CCNA_03923	CCNA_03923	560907	560972	-	n	0
2372	CCNA_03886	CCNA_03886	609287	611065	-	n	0
2376	CCNA_03927	CCNA_03927	770798	771094	-	n	0
2377	CCNA_03928	CCNA_03928	771136	771327	-	n	0
2378	CCNA_03929	CCNA_03929	771721	771834	-	n	0
2383	CCNA_03891	CCNA_03891	1254289	1254639	-	n	0
2384	CCNA_03894	CCNA_03894	2003815	2005050	-	n	0
2385	CCNA_03895	CCNA_03895	2009954	2010232	-	n	0
2397	CCNA_03942	CCNA_03942	899356	899490	-	n	0
2412	CCNA_03974	CCNA_03974	2899489	2899896	-	n	0
2422	CCNA_03991	CCNA_03991	3527624	3527956	-	n	0
